id,category,price,rating
d075,Formal,215.18,2
d076,Casual,112.37,3
d077,Summer,85.55,2
d078,Formal,146.63,3.5
d079,Casual,62.5,1.5
d080,Party,163.19,3.5
d081,Party,150.03,4
d082,Work,93.08,1.5
d083,Casual,114.11,3.5
d084,Party,183.16,3
d085,Summer,34.48,1.5
d086,Formal,117.76,3.5
d087,Formal,183.6,2.5
d088,Casual,84.46,3.5
d089,Work,150.5,1.5
d090,Party,157.28,2
d091,Work,127.65,2.5
d092,Summer,106.32,2
d093,Formal,135.24,2.5
d094,Summer,40.52,2
d095,Work,100.89,1.5
d096,Casual,22.3,2.5
d097,Party,209.17,2
d098,Casual,79.52,2
d099,Formal,144.26,1.5
d100,Summer,88.5,2.5
d101,Work,150.91,3
d102,Casual,82.44,3
d103,Summer,99.61,3
d104,Party,116.43,2.5
d105,Work,146.41,3
d106,Party,164.36,2.5
d107,Party,90.37,3.5
d108,Formal,162.96,3.5
d109,Summer,135.41,2.5
d110,Party,136.73,3.5
d111,Casual,46.6,2.5
d112,Summer,87.62,3
d113,Party,155.76,2
d114,Casual,44.58,1.5
d115,Formal,186.09,4
d116,Work,107.44,2.5
d117,Summer,117.94,2
d118,Summer,111.71,3.5
d119,Work,64.29,3.5
d120,Work,63.38,2
d121,Formal,177.91,3.5
d122,Casual,54.73,3.5
d123,Work,130.63,1.5
d124,Formal,218.1,2
d125,Work,79.76,3.5
d126,Work,77.87,2
d127,Summer,129.36,2
d128,Casual,93.73,3
d129,Party,175.33,3
d130,Summer,125.42,3.5
d131,Summer,62.55,3.5
d132,Summer,78.64,2.5
d133,Summer,47.12,2
d134,Party,190.36,3.5
d135,Work,61.44,3
d136,Work,156.52,4
d137,Party,125.77,2
d138,Casual,18.12,2.5
d139,Formal,125.22,2.5
d140,Summer,44.51,3
d141,Summer,68.06,2.5
d142,Formal,182.26,2
d143,Casual,75.84,3.5
d144,Summer,50.88,1.5
d145,Work,164.5,3
d146,Casual,117,2.5
d147,Formal,146.89,3.5
d148,Formal,206.25,2
d149,Summer,149.66,2.5
d150,Casual,21.8,3
d151,Party,142.57,3.5
d152,Casual,26.34,2
d153,Summer,140.95,2.5
d154,Summer,63.18,2.5
d155,Formal,175.19,2
d156,Work,177.18,2.5
d157,Formal,167.47,2
d158,Work,70.13,2.5
d159,Work,95.66,3.5
d160,Formal,112.01,3
d161,Work,146.57,4
d162,Casual,51.51,1.5
d163,Casual,98.17,2.5
d164,Summer,90.3,3
d165,Summer,61.35,1.5
d166,Formal,223.31,2.5
d167,Summer,98.03,2.5
d168,Casual,97.03,3.5
d169,Summer,138.68,1.5
d170,Summer,46.3,2
d171,Work,155.58,3
d172,Summer,57.76,2.5
d173,Party,112.06,2
d174,Party,128.57,2
d175,Work,123.82,3.5
d176,Summer,144.59,2
d177,Casual,98.37,1.5
d178,Casual,76.22,2.5
d179,Party,141.88,2
d180,Work,124.02,1.5
d181,Casual,103.2,2
d182,Summer,51.41,2.5
d183,Summer,149.92,2
d184,Casual,87.14,3.5
d185,Casual,24.1,1.5
d186,Casual,133.34,3.5
d187,Party,203.1,3
d188,Casual,26.58,3
d189,Formal,218.17,2
d190,Summer,111.06,3.5
d191,Casual,47.07,2.5
d192,Formal,150.1,3
d193,Work,178.01,3
d194,Work,152.25,3.5
d195,Party,150.3,2
d196,Work,120.13,1.5
d197,Party,130.97,2.5
d198,Formal,124.78,3.5
d199,Summer,146.96,3
d200,Formal,123.51,4
d201,Work,135.96,3.5
d202,Summer,121.51,2
d203,Casual,87.84,3
d204,Formal,186.12,2
d205,Party,116.75,3.5
d206,Summer,86.7,3.5
d207,Party,117.14,1.5
d208,Casual,83.82,3
d209,Work,117.94,3.5
d210,Work,94.8,3
d211,Party,164.63,2.5
d212,Party,126.51,2
d213,Work,110.71,2.5
d214,Casual,38.71,3
d215,Work,96.39,3.5
d216,Formal,217.54,3
d217,Work,98.23,1.5
d218,Party,198.94,2.5
d219,Formal,165.78,3
d220,Summer,81.53,2.5
d221,Formal,161.72,2.5
d222,Summer,139.56,3.5
d223,Formal,116.63,2
d224,Work,173.67,2.5
d225,Summer,77.98,2
d226,Formal,164.16,3
d227,Work,156.52,2
d228,Casual,61.09,3.5
d229,Formal,170.83,3
d230,Formal,193.13,2
d231,Summer,129.34,3.5
d232,Party,141.56,2
d233,Casual,79.83,2
d234,Work,174.45,3
d235,Formal,175.25,2
d236,Summer,100.04,2.5
d237,Summer,87.52,3
d238,Summer,49.49,3
d239,Casual,50.15,3.5
d240,Casual,54.73,3
d241,Casual,61.22,2.5
d242,Work,105.46,3
d243,Casual,63.27,3.5
d244,Party,91.33,2.5
d245,Work,75.18,3
d246,Summer,50.02,2
d247,Work,134.02,3
d248,Casual,91.05,2
d249,Party,172.43,2.5
d250,Work,132.3,3
d251,Work,130.8,3
d252,Casual,18.17,3
d253,Party,132.79,1.5
d254,Party,116.66,3.5
d255,Summer,92.56,1.5
d256,Work,142.82,3
d257,Casual,75.84,3
d258,Summer,133.28,2
d259,Summer,53.33,3.5
d260,Casual,99.29,1.5
d261,Casual,65.19,2.5
d262,Party,200.07,2.5
d263,Party,143.37,2
d264,Summer,149.98,2
d265,Casual,86.29,3.5
d266,Party,120.37,4
d267,Summer,31.08,1
d268,Casual,112.53,3.5
d269,Summer,50.09,2.5
d270,Work,172.8,2.5
d271,Party,169.33,3.5
d272,Summer,35.98,1.5
d273,Party,187.04,2.5
d274,Party,115.18,3
d275,Casual,26.48,3
d276,Formal,194.54,4
d277,Casual,44.74,2.5
d278,Summer,122.84,1.5
d279,Work,92.33,3.5
d280,Summer,141.8,3
d281,Casual,60.42,2.5
d282,Summer,115.73,2.5
d283,Formal,149.78,3.5
d284,Summer,85.24,1.5
d285,Formal,183.59,3
d286,Party,206.83,2
d287,Formal,216.59,2.5
d288,Formal,131.21,2
d289,Work,178.97,2
d290,Casual,128.16,2
d291,Work,105.07,4
d292,Formal,124.97,3.5
d293,Summer,91.85,2
d294,Party,109.44,4
d295,Summer,63.11,2
d296,Party,139.38,2.5
d297,Casual,58.98,1
d298,Formal,195.64,4
d299,Party,138.82,3.5
d300,Party,137.95,1.5
